County,Year,Age, Female Population , Male Population , Total Population , Female Voters , Male Voters , Unknown Voters , Total Voters , Female Ballots , Male Ballots , Unknown Ballots , Total Ballots ,Female Registered Population,Male Registered Population,Total Registered Population,Female Pop Turnout,Male Pop Turnout,Total Pop Turnout,Female Voter Turnout, Male Voter Turnout ,Total Voter Turnout
Asotin,2018-P,65-," 2,750 "," 2,744 "," 5,494 "," 2,462 "," 2,176 ", 5 ," 4,643 "," 1,625 "," 1,453 ", 3 ," 3,081 ",89.5%,79.3%,84.5%,59.1%,52.9%,56.1%,66.0%,66.8%,66.4%
Benton,2018-P,0TOTAL," 71,888 "," 71,375 "," 143,263 "," 54,528 "," 50,464 "," 2,320 "," 107,312 "," 20,659 "," 19,060 ", 644 ," 40,363 ",75.9%,70.7%,74.9%,28.7%,26.7%,28.2%,37.9%,37.8%,37.6%
Benton,2018-P,18-24," 8,401 "," 8,666 "," 17,067 "," 4,514 "," 4,476 ", 525 ," 9,515 ", 741 , 671 , 94 ," 1,506 ",53.7%,51.6%,55.8%,8.8%,7.7%,8.8%,16.4%,15.0%,15.8%
Benton,2018-P,25-34," 11,671 "," 12,018 "," 23,689 "," 8,904 "," 8,077 ", 413 ," 17,394 "," 1,448 "," 1,308 ", 71 ," 2,827 ",76.3%,67.2%,73.4%,12.4%,10.9%,11.9%,16.3%,16.2%,16.3%
Benton,2018-P,35-44," 11,562 "," 11,979 "," 23,541 "," 8,747 "," 8,117 ", 389 ," 17,253 "," 1,967 "," 1,822 ", 95 ," 3,884 ",75.7%,67.8%,73.3%,17.0%,15.2%,16.5%,22.5%,22.4%,22.5%
Benton,2018-P,45-54," 12,218 "," 12,328 "," 24,546 "," 8,644 "," 8,027 ", 284 ," 16,955 "," 2,814 "," 2,569 ", 76 ," 5,459 ",70.7%,65.1%,69.1%,23.0%,20.8%,22.2%,32.6%,32.0%,32.2%
Benton,2018-P,55-64," 12,842 "," 12,645 "," 25,487 "," 10,337 "," 9,621 ", 316 ," 20,274 "," 5,055 "," 4,531 ", 102 ," 9,688 ",80.5%,76.1%,79.5%,39.4%,35.8%,38.0%,48.9%,47.1%,47.8%
Benton,2018-P,65-," 15,193 "," 13,739 "," 28,932 "," 13,382 "," 12,146 ", 393 ," 25,921 "," 8,634 "," 8,159 ", 206 ," 16,999 ",88.1%,88.4%,89.6%,56.8%,59.4%,58.8%,64.5%,67.2%,65.6%
Chelan,2018-P,0TOTAL," 29,817 "," 28,989 "," 58,806 "," 22,920 "," 21,129 ", 42 ," 44,091 "," 10,609 "," 9,411 ", 16 ," 20,036 ",76.9%,72.9%,75.0%,35.6%,32.5%,34.1%,46.3%,44.5%,45.4%
Chelan,2018-P,18-24," 2,848 "," 2,989 "," 5,837 "," 1,800 "," 1,701 ", 15 ," 3,516 ", 311 , 248 , 5 , 564 ,63.2%,56.9%,60.2%,10.9%,8.3%,9.7%,17.3%,14.6%,16.0%
Chelan,2018-P,25-34," 4,024 "," 4,151 "," 8,176 "," 3,248 "," 2,947 ", 8 ," 6,203 ", 698 , 563 , 1 ," 1,262 ",80.7%,71.0%,75.9%,17.3%,13.6%,15.4%,21.5%,19.1%,20.3%
Chelan,2018-P,35-44," 4,301 "," 4,241 "," 8,542 "," 3,143 "," 2,878 ", 2 ," 6,023 ", 985 , 824 ,," 1,809 ",73.1%,67.9%,70.5%,22.9%,19.4%,21.2%,31.3%,28.6%,30.0%
Chelan,2018-P,45-54," 4,864 "," 4,771 "," 9,635 "," 3,109 "," 3,070 ", 3 ," 6,182 "," 1,211 "," 1,129 ", 1 ," 2,341 ",63.9%,64.4%,64.2%,24.9%,23.7%,24.3%,39.0%,36.8%,37.9%
Chelan,2018-P,55-64," 5,761 "," 5,516 "," 11,277 "," 4,754 "," 4,310 ", 5 ," 9,069 "," 2,641 "," 2,287 ", 2 ," 4,930 ",82.5%,78.1%,80.4%,45.8%,41.5%,43.7%,55.6%,53.1%,54.4%
Chelan,2018-P,65-," 8,019 "," 7,320 "," 15,339 "," 6,866 "," 6,223 ", 9 ," 13,098 "," 4,763 "," 4,360 ", 7 ," 9,130 ",85.6%,85.0%,85.4%,59.4%,59.6%,59.5%,69.4%,70.1%,69.7%
Clallam,2018-P,0TOTAL," 31,083 "," 30,296 "," 61,379 "," 27,796 "," 24,658 ",," 52,454 "," 13,679 "," 11,701 ",," 25,380 ",89.4%,81.4%,85.5%,44.0%,38.6%,41.3%,49.2%,47.5%,48.4%
Clallam,2018-P,18-24," 2,280 "," 2,875 "," 5,155 "," 1,448 "," 1,524 ",," 2,972 ", 196 , 218 ,, 414 ,63.5%,53.0%,57.6%,8.6%,7.6%,8.0%,13.5%,14.3%,13.9%
Clallam,2018-P,25-34," 3,281 "," 3,933 "," 7,214 "," 2,935 "," 2,797 ",," 5,732 ", 501 , 427 ,, 928 ,89.5%,71.1%,79.5%,15.3%,10.9%,12.9%,17.1%,15.3%,16.2%
Clallam,2018-P,35-44," 3,452 "," 3,678 "," 7,129 "," 3,002 "," 2,790 ",," 5,792 ", 734 , 644 ,," 1,378 ",87.0%,75.9%,81.2%,21.3%,17.5%,19.3%,24.5%,23.1%,23.8%
Clallam,2018-P,45-54," 4,234 "," 4,147 "," 8,380 "," 3,238 "," 2,826 ",," 6,064 "," 1,193 ", 938 ,," 2,131 ",76.5%,68.2%,72.4%,28.2%,22.6%,25.4%,36.8%,33.2%,35.1%
Clallam,2018-P,55-64," 6,467 "," 5,578 "," 12,045 "," 5,941 "," 4,834 ",," 10,775 "," 3,166 "," 2,461 ",," 5,627 ",91.9%,86.7%,89.5%,49.0%,44.1%,46.7%,53.3%,50.9%,52.2%
Clallam,2018-P,65-," 11,369 "," 10,086 "," 21,455 "," 11,232 "," 9,887 ",," 21,119 "," 7,889 "," 7,013 ",," 14,902 ",98.8%,98.0%,98.4%,69.4%,69.5%,69.5%,70.2%,70.9%,70.6%
Clark,2018-P,0TOTAL," 183,548 "," 174,774 "," 358,322 "," 146,313 "," 132,766 ", 4 ," 279,083 "," 53,250 "," 47,581 ",," 100,831 ",79.7%,76.0%,77.9%,29.0%,27.2%,28.1%,36.4%,35.8%,36.1%
Clark,2018-P,18-24," 19,675 "," 19,988 "," 39,663 "," 12,333 "," 12,120 ", 2 ," 24,455 "," 1,959 "," 1,854 ",," 3,813 ",62.7%,60.6%,61.7%,10.0%,9.3%,9.6%,15.9%,15.3%,15.6%
Clark,2018-P,25-34," 28,442 "," 27,711 "," 56,153 "," 22,485 "," 20,786 ",," 43,271 "," 3,736 "," 3,458 ",," 7,194 ",79.1%,75.0%,77.1%,13.1%,12.5%,12.8%,16.6%,16.6%,16.6%
Clark,2018-P,35-44," 30,991 "," 30,696 "," 61,686 "," 24,661 "," 22,149 ", 1 ," 46,811 "," 5,898 "," 5,148 ",," 11,046 ",79.6%,72.2%,75.9%,19.0%,16.8%,17.9%,23.9%,23.2%,23.6%
Clark,2018-P,45-54," 32,034 "," 31,969 "," 64,003 "," 25,071 "," 23,537 ",," 48,608 "," 7,707 "," 6,946 ",," 14,653 ",78.3%,73.6%,75.9%,24.1%,21.7%,22.9%,30.7%,29.5%,30.1%
Clark,2018-P,55-64," 32,705 "," 30,597 "," 63,302 "," 26,371 "," 24,060 ",," 50,431 "," 11,956 "," 10,668 ",," 22,624 ",80.6%,78.6%,79.7%,36.6%,34.9%,35.7%,45.3%,44.3%,44.9%
Clark,2018-P,65-," 39,702 "," 33,813 "," 73,515 "," 35,392 "," 30,114 ", 1 ," 65,507 "," 21,994 "," 19,507 ",," 41,501 ",89.1%,89.1%,89.1%,55.4%,57.7%,56.5%,62.1%,64.8%,63.4%
Columbia,2018-P,0TOTAL," 1,663 "," 1,676 "," 3,339 "," 1,410 "," 1,260 ",," 2,670 ", 945 , 836 ,," 1,781 ",84.8%,75.2%,80.0%,56.8%,49.9%,53.3%,67.0%,66.3%,66.7%
Columbia,2018-P,18-24, 112 , 117 , 229 , 92 , 73 ,, 165 , 32 , 23 ,, 55 ,82.0%,62.4%,72.0%,28.5%,19.7%,24.0%,34.8%,31.5%,33.3%
Columbia,2018-P,25-34, 134 , 140 , 274 , 130 , 112 ,, 242 , 53 , 36 ,, 89 ,96.8%,79.9%,88.2%,39.5%,25.7%,32.4%,40.8%,32.1%,36.8%
Columbia,2018-P,35-44, 181 , 195 , 376 , 166 , 147 ,, 313 , 90 , 68 ,, 158 ,91.6%,75.5%,83.3%,49.7%,34.9%,42.0%,54.2%,46.3%,50.5%
Columbia,2018-P,45-54, 271 , 284 , 554 , 188 , 172 ,, 360 , 116 , 112 ,, 228 ,69.5%,60.6%,65.0%,42.9%,39.5%,41.1%,61.7%,65.1%,63.3%
Columbia,2018-P,55-64, 357 , 360 , 717 , 294 , 280 ,, 574 , 222 , 202 ,, 424 ,82.3%,77.8%,80.0%,62.1%,56.2%,59.1%,75.5%,72.1%,73.9%
Columbia,2018-P,65-, 607 , 581 ," 1,188 ", 540 , 476 ,," 1,016 ", 432 , 395 ,, 827 ,89.0%,81.9%,85.5%,71.2%,68.0%,69.6%,80.0%,83.0%,81.4%
Cowlitz,2018-P,0TOTAL," 41,687 "," 40,276 "," 81,963 "," 32,774 "," 30,125 ", 53 ," 62,952 "," 13,511 "," 12,225 ", 12 ," 25,748 ",78.6%,74.8%,76.8%,32.4%,30.4%,31.4%,41.2%,40.6%,40.9%
Cowlitz,2018-P,18-24," 4,290 "," 4,299 "," 8,589 "," 2,450 "," 2,396 ", 14 ," 4,860 ", 429 , 370 , 2 , 801 ,57.1%,55.7%,56.6%,10.0%,8.6%,9.3%,17.5%,15.4%,16.5%
Cowlitz,2018-P,25-34," 5,959 "," 5,788 "," 11,747 "," 4,617 "," 4,247 ", 7 ," 8,871 ", 815 , 719 , 1 ," 1,535 ",77.5%,73.4%,75.5%,13.7%,12.4%,13.1%,17.7%,16.9%,17.3%
Cowlitz,2018-P,35-44," 5,979 "," 5,976 "," 11,955 "," 4,712 "," 4,262 ", 10 ," 8,984 "," 1,188 "," 1,050 ", 1 ," 2,239 ",78.8%,71.3%,75.1%,19.9%,17.6%,18.7%,25.2%,24.6%,24.9%
Cowlitz,2018-P,45-54," 6,855 "," 6,963 "," 13,817 "," 5,166 "," 4,682 ", 6 ," 9,854 "," 1,806 "," 1,600 ", 2 ," 3,408 ",75.4%,67.2%,71.3%,26.3%,23.0%,24.7%,35.0%,34.2%,34.6%
Cowlitz,2018-P,55-64," 7,804 "," 7,651 "," 15,456 "," 6,424 "," 6,036 ", 4 ," 12,464 "," 3,130 "," 2,782 ", 2 ," 5,914 ",82.3%,78.9%,80.6%,40.1%,36.4%,38.3%,48.7%,46.1%,47.4%
Cowlitz,2018-P,65-," 10,800 "," 9,599 "," 20,399 "," 9,405 "," 8,502 ", 12 ," 17,919 "," 6,143 "," 5,704 ", 4 ," 11,851 ",87.1%,88.6%,87.8%,56.9%,59.4%,58.1%,65.3%,67.1%,66.1%
Douglas,2018-P,0TOTAL," 15,517 "," 15,402 "," 30,919 "," 10,989 "," 10,027 ", 325 ," 21,341 "," 4,369 "," 3,948 ", 131 ," 8,448 ",70.8%,65.1%,69.0%,28.2%,25.6%,27.3%,39.8%,39.4%,39.6%
Douglas,2018-P,18-24," 1,724 "," 1,822 "," 3,546 ", 913 , 857 , 21 ," 1,791 ", 103 , 106 , 4 , 213 ,53.0%,47.0%,50.5%,6.0%,5.8%,6.0%,11.3%,12.4%,11.9%
Douglas,2018-P,25-34," 2,360 "," 2,490 "," 4,850 "," 1,568 "," 1,355 ", 32 ," 2,955 ", 257 , 186 , 6 , 449 ,66.4%,54.4%,60.9%,10.9%,7.5%,9.3%,16.4%,13.7%,15.2%
Douglas,2018-P,35-44," 2,462 "," 2,488 "," 4,951 "," 1,536 "," 1,447 ", 41 ," 3,024 ", 325 , 337 , 12 , 674 ,62.4%,58.2%,61.1%,13.2%,13.5%,13.6%,21.2%,23.3%,22.3%
Douglas,2018-P,45-54," 2,478 "," 2,563 "," 5,041 "," 1,610 "," 1,409 ", 71 ," 3,090 ", 537 , 404 , 16 , 957 ,65.0%,55.0%,61.3%,21.7%,15.8%,19.0%,33.4%,28.7%,31.0%
Douglas,2018-P,55-64," 2,751 "," 2,679 "," 5,430 "," 2,133 "," 1,971 ", 57 ," 4,161 "," 1,023 ", 894 , 28 ," 1,945 ",77.5%,73.6%,76.6%,37.2%,33.4%,35.8%,48.0%,45.4%,46.7%
Douglas,2018-P,65-," 3,741 "," 3,360 "," 7,100 "," 3,229 "," 2,988 ", 103 ," 6,320 "," 2,124 "," 2,021 ", 65 ," 4,210 ",86.3%,88.9%,89.0%,56.8%,60.2%,59.3%,65.8%,67.6%,66.6%
Ferry,2018-P,0TOTAL," 3,045 "," 3,277 "," 6,322 "," 2,271 "," 2,272 ",," 4,543 "," 1,351 "," 1,282 ",," 2,633 ",74.6%,69.3%,71.9%,44.4%,39.1%,41.6%,59.5%,56.4%,58.0%
Ferry,2018-P,18-24, 285 , 399 , 683 , 113 , 119 ,, 232 , 34 , 26 ,, 60 ,39.7%,29.9%,34.0%,11.9%,6.5%,8.8%,30.1%,21.8%,25.9%
Ferry,2018-P,25-34, 295 , 318 , 613 , 210 , 220 ,, 430 , 59 , 55 ,, 114 ,71.3%,69.1%,70.2%,20.0%,17.3%,18.6%,28.1%,25.0%,26.5%
Ferry,2018-P,35-44, 314 , 350 , 663 , 269 , 269 ,, 538 , 117 , 85 ,, 202 ,85.8%,76.9%,81.1%,37.3%,24.3%,30.5%,43.5%,31.6%,37.5%
Ferry,2018-P,45-54, 478 , 459 , 937 , 329 , 278 ,, 607 , 160 , 137 ,, 297 ,68.8%,60.6%,64.8%,33.5%,29.8%,31.7%,48.6%,49.3%,48.9%
Ferry,2018-P,55-64, 691 , 685 ," 1,376 ", 512 , 484 ,, 996 , 332 , 295 ,, 627 ,74.1%,70.7%,72.4%,48.1%,43.1%,45.6%,64.8%,61.0%,63.0%
Ferry,2018-P,65-, 984 ," 1,066 "," 2,050 ", 838 , 902 ,," 1,740 ", 649 , 684 ,," 1,333 ",85.2%,84.6%,84.9%,66.0%,64.2%,65.0%,77.4%,75.8%,76.6%
Franklin,2018-P,0TOTAL," 29,148 "," 31,307 "," 60,455 "," 17,363 "," 15,825 ", 536 ," 33,724 "," 5,885 "," 5,488 ", 148 ," 11,521 ",59.6%,50.5%,55.8%,20.2%,17.5%,19.1%,33.9%,34.7%,34.2%
Franklin,2018-P,18-24," 4,277 "," 4,643 "," 8,920 "," 1,918 "," 1,748 ", 45 ," 3,711 ", 276 , 231 , 6 , 513 ,44.8%,37.7%,41.6%,6.5%,5.0%,5.8%,14.4%,13.2%,13.8%
Franklin,2018-P,25-34," 5,998 "," 6,701 "," 12,700 "," 3,618 "," 3,111 ", 68 ," 6,797 ", 568 , 480 , 8 ," 1,056 ",60.3%,46.4%,53.5%,9.5%,7.2%,8.3%,15.7%,15.4%,15.5%
Franklin,2018-P,35-44," 5,820 "," 6,351 "," 12,171 "," 3,287 "," 2,891 ", 100 ," 6,278 ", 743 , 677 , 22 ," 1,442 ",56.5%,45.5%,51.6%,12.8%,10.7%,11.8%,22.6%,23.4%,23.0%
Franklin,2018-P,45-54," 4,747 "," 5,252 "," 9,999 "," 2,467 "," 2,310 ", 107 ," 4,884 ", 805 , 716 , 20 ," 1,541 ",52.0%,44.0%,48.8%,17.0%,13.6%,15.4%,32.6%,31.0%,31.6%
Franklin,2018-P,55-64," 4,041 "," 4,245 "," 8,286 "," 2,736 "," 2,583 ", 102 ," 5,421 "," 1,271 "," 1,245 ", 33 ," 2,549 ",67.7%,60.9%,65.4%,31.5%,29.3%,30.8%,46.5%,48.2%,47.0%
Franklin,2018-P,65-," 4,264 "," 4,116 "," 8,381 "," 3,337 "," 3,182 ", 114 ," 6,633 "," 2,222 "," 2,139 ", 59 ," 4,420 ",78.3%,77.3%,79.1%,52.1%,52.0%,52.7%,66.6%,67.2%,66.6%
Garfield,2018-P,0TOTAL, 892 , 876 ," 1,768 ", 815 , 794 ,," 1,609 ", 569 , 527 ,," 1,096 ",91.4%,90.6%,91.0%,63.8%,60.1%,62.0%,69.8%,66.4%,68.1%
Garfield,2018-P,18-24, 65 , 80 , 145 , 47 , 59 ,, 106 , 19 , 30 ,, 49 ,72.7%,73.6%,73.2%,29.4%,37.4%,33.8%,40.4%,50.8%,46.2%
Garfield,2018-P,25-34, 68 , 77 , 144 , 106 , 97 ,, 203 , 51 , 38 ,, 89 ,156.5%,126.4%,140.5%,75.3%,49.5%,61.6%,48.1%,39.2%,43.8%
Garfield,2018-P,35-44, 107 , 107 , 214 , 103 , 102 ,, 205 , 64 , 58 ,, 122 ,96.1%,95.7%,95.9%,59.7%,54.4%,57.1%,62.1%,56.9%,59.5%
Garfield,2018-P,45-54, 137 , 129 , 266 , 99 , 99 ,, 198 , 69 , 66 ,, 135 ,72.0%,76.9%,74.4%,50.2%,51.3%,50.7%,69.7%,66.7%,68.2%
Garfield,2018-P,55-64, 194 , 192 , 386 , 175 , 180 ,, 355 , 125 , 129 ,, 254 ,90.2%,93.7%,92.0%,64.4%,67.2%,65.8%,71.4%,71.7%,71.5%
Garfield,2018-P,65-, 321 , 292 , 613 , 285 , 257 ,, 542 , 241 , 206 ,, 447 ,88.9%,88.0%,88.5%,75.2%,70.5%,73.0%,84.6%,80.2%,82.5%
Grant,2018-P,0TOTAL," 32,819 "," 34,549 "," 67,368 "," 21,019 "," 19,288 ", 68 ," 40,375 "," 7,887 "," 7,287 ", 11 ," 15,185 ",64.0%,55.8%,59.9%,24.0%,21.1%,22.5%,37.5%,37.8%,37.6%
Grant,2018-P,18-24," 4,238 "," 4,793 "," 9,031 "," 1,984 "," 1,771 ", 12 ," 3,767 ", 257 , 188 ,, 445 ,46.8%,36.9%,41.7%,6.1%,3.9%,4.9%,13.0%,10.6%,11.8%
Grant,2018-P,25-34," 5,675 "," 6,431 "," 12,106 "," 3,539 "," 3,133 ", 17 ," 6,689 ", 477 , 404 , 1 , 882 ,62.4%,48.7%,55.3%,8.4%,6.3%,7.3%,13.5%,12.9%,13.2%
Grant,2018-P,35-44," 5,480 "," 5,844 "," 11,324 "," 3,041 "," 2,692 ", 6 ," 5,739 ", 670 , 617 , 1 ," 1,288 ",55.5%,46.1%,50.7%,12.2%,10.6%,11.4%,22.0%,22.9%,22.4%
Grant,2018-P,45-54," 5,300 "," 5,672 "," 10,972 "," 3,102 "," 2,895 ", 12 ," 6,009 ", 989 , 922 , 1 ," 1,912 ",58.5%,51.0%,54.8%,18.7%,16.3%,17.4%,31.9%,31.8%,31.8%
Grant,2018-P,55-64," 5,310 "," 5,374 "," 10,684 "," 3,775 "," 3,635 ", 12 ," 7,422 "," 1,879 "," 1,744 ", 3 ," 3,626 ",71.1%,67.6%,69.5%,35.4%,32.5%,33.9%,49.8%,48.0%,48.9%
Grant,2018-P,65-," 6,816 "," 6,435 "," 13,250 "," 5,578 "," 5,162 ", 9 ," 10,749 "," 3,615 "," 3,412 ", 5 ," 7,032 ",81.8%,80.2%,81.1%,53.0%,53.0%,53.1%,64.8%,66.1%,65.4%
Grays Harbor,2018-P,0TOTAL," 27,704 "," 30,215 "," 57,919 "," 21,784 "," 19,763 ", 324 ," 41,871 "," 8,971 "," 7,941 ", 100 ," 17,012 ",78.6%,65.4%,72.3%,32.4%,26.3%,29.4%,41.2%,40.2%,40.6%
Grays Harbor,2018-P,18-24," 2,602 "," 3,072 "," 5,674 "," 1,421 "," 1,434 ", 72 ," 2,927 ", 194 , 157 , 10 , 361 ,54.6%,46.7%,51.6%,7.5%,5.1%,6.4%,13.7%,10.9%,12.3%
Grays Harbor,2018-P,25-34," 3,637 "," 4,788 "," 8,426 "," 2,688 "," 2,522 ", 38 ," 5,248 ", 390 , 364 , 6 , 760 ,73.9%,52.7%,62.3%,10.7%,7.6%,9.0%,14.5%,14.4%,14.5%
Grays Harbor,2018-P,35-44," 3,748 "," 4,617 "," 8,365 "," 2,770 "," 2,482 ", 44 ," 5,296 ", 621 , 510 , 13 ," 1,144 ",73.9%,53.8%,63.3%,16.6%,11.0%,13.7%,22.4%,20.5%,21.6%
Grays Harbor,2018-P,45-54," 4,429 "," 5,019 "," 9,448 "," 3,185 "," 2,835 ", 48 ," 6,068 ", 978 , 875 , 12 ," 1,865 ",71.9%,56.5%,64.2%,22.1%,17.4%,19.7%,30.7%,30.9%,30.7%
Grays Harbor,2018-P,55-64," 5,588 "," 5,521 "," 11,109 "," 4,763 "," 4,107 ", 49 ," 8,919 "," 2,332 "," 1,888 ", 19 ," 4,239 ",85.2%,74.4%,80.3%,41.7%,34.2%,38.2%,49.0%,46.0%,47.5%
Grays Harbor,2018-P,65-," 7,700 "," 7,198 "," 14,898 "," 6,957 "," 6,383 ", 73 ," 13,413 "," 4,456 "," 4,147 ", 40 ," 8,643 ",90.4%,88.7%,90.0%,57.9%,57.6%,58.0%,64.1%,65.0%,64.4%
Island,2018-P,0TOTAL," 34,115 "," 32,570 "," 66,686 "," 28,904 "," 26,174 ", 1 ," 55,079 "," 14,346 "," 12,421 ",," 26,767 ",84.7%,80.4%,82.6%,42.1%,38.1%,40.1%,49.6%,47.5%,48.6%
Island,2018-P,18-24," 3,045 "," 3,808 "," 6,853 "," 1,738 "," 1,628 ",," 3,366 ", 338 , 249 ,, 587 ,57.1%,42.7%,49.1%,11.1%,6.5%,8.6%,19.4%,15.3%,17.4%
Island,2018-P,25-34," 4,379 "," 4,771 "," 9,150 "," 3,562 "," 3,306 ",," 6,868 ", 589 , 481 ,," 1,070 ",81.3%,69.3%,75.1%,13.4%,10.1%,11.7%,16.5%,14.5%,15.6%
Island,2018-P,35-44," 3,780 "," 3,666 "," 7,446 "," 3,413 "," 3,143 ",," 6,556 ", 884 , 740 ,," 1,624 ",90.3%,85.7%,88.0%,23.4%,20.2%,21.8%,25.9%,23.5%,24.8%
Island,2018-P,45-54," 4,817 "," 4,335 "," 9,152 "," 3,849 "," 3,580 ", 1 ," 7,430 "," 1,473 "," 1,310 ",," 2,783 ",79.9%,82.6%,81.2%,30.6%,30.2%,30.4%,38.3%,36.6%,37.5%
Island,2018-P,55-64," 7,247 "," 6,157 "," 13,405 "," 6,045 "," 5,093 ",," 11,138 "," 3,486 "," 2,738 ",," 6,224 ",83.4%,82.7%,83.1%,48.1%,44.5%,46.4%,57.7%,53.8%,55.9%
Island,2018-P,65-," 10,847 "," 9,833 "," 20,680 "," 10,297 "," 9,424 ",," 19,721 "," 7,576 "," 6,903 ",," 14,479 ",94.9%,95.8%,95.4%,69.8%,70.2%,70.0%,73.6%,73.2%,73.4%
Jefferson,2018-P,0TOTAL," 13,797 "," 13,516 "," 27,312 "," 12,930 "," 11,753 ",," 24,683 "," 8,181 "," 6,945 ",," 15,126 ",93.7%,87.0%,90.4%,59.3%,51.4%,55.4%,63.3%,59.1%,61.3%
Jefferson,2018-P,18-24, 766 , 830 ," 1,595 ", 496 , 482 ,, 978 , 144 , 128 ,, 272 ,64.8%,58.1%,61.3%,18.8%,15.4%,17.0%,29.0%,26.6%,27.8%
Jefferson,2018-P,25-34," 1,065 "," 1,211 "," 2,276 "," 1,124 "," 1,057 ",," 2,181 ", 360 , 240 ,, 600 ,105.6%,87.3%,95.8%,33.8%,19.8%,26.4%,32.0%,22.7%,27.5%
Jefferson,2018-P,35-44," 1,249 "," 1,386 "," 2,635 "," 1,169 "," 1,062 ",," 2,231 ", 444 , 368 ,, 812 ,93.6%,76.6%,84.7%,35.6%,26.6%,30.8%,38.0%,34.7%,36.4%
Jefferson,2018-P,45-54," 1,832 "," 1,761 "," 3,592 "," 1,457 "," 1,266 ",," 2,723 ", 764 , 560 ,," 1,324 ",79.5%,71.9%,75.8%,41.7%,31.8%,36.9%,52.4%,44.2%,48.6%
Jefferson,2018-P,55-64," 3,231 "," 2,819 "," 6,050 "," 2,973 "," 2,370 ",," 5,343 "," 1,990 "," 1,419 ",," 3,409 ",92.0%,84.1%,88.3%,61.6%,50.3%,56.3%,66.9%,59.9%,63.8%
Jefferson,2018-P,65-," 5,655 "," 5,510 "," 11,164 "," 5,711 "," 5,516 ",," 11,227 "," 4,479 "," 4,230 ",," 8,709 ",101.0%,100.1%,100.6%,79.2%,76.8%,78.0%,78.4%,76.7%,77.6%
King,2018-P,0TOTAL," 857,378 "," 846,540 "," 1,703,918 "," 641,744 "," 605,458 "," 3,488 "," 1,250,690 "," 286,248 "," 259,230 ", 761 ," 546,239 ",74.8%,71.5%,73.4%,33.4%,30.6%,32.1%,44.6%,42.8%,43.7%
