County,Year,Age, Female Population , Male Population , Total Population , Female Voters , Male Voters , Unknown Voters , Total Voters , Female Ballots , Male Ballots , Unknown Ballots , Total Ballots ,Female Registered Population,Male Registered Population,Total Registered Population,Female Pop Turnout,Male Pop Turnout,Total Pop Turnout,Female Voter Turnout, Male Voter Turnout ,Total Voter Turnout
Chelan,2018-P,0TOTAL,29817.12 ,28988.62 ,58805.74 ,22920.00 ,21129.00 ,42.00 ,44091.00 ,10609.00 ,9411.00 ,16.00 ,20036.00 ,0.77 ,0.73 ,0.75 ,0.36 ,0.32 ,0.34 ,0.46 ,0.45 ,0.45 
Chelan,2018-P,18-24,2848.10 ,2989.07 ,5837.18 ,1800.00 ,1701.00 ,15.00 ,3516.00 ,311.00 ,248.00 ,5.00 ,564.00 ,0.63 ,0.57 ,0.60 ,0.11 ,0.08 ,0.10 ,0.17 ,0.15 ,0.16 
Chelan,2018-P,25-34,4024.38 ,4151.31 ,8175.69 ,3248.00 ,2947.00 ,8.00 ,6203.00 ,698.00 ,563.00 ,1.00 ,1262.00 ,0.81 ,0.71 ,0.76 ,0.17 ,0.14 ,0.15 ,0.21 ,0.19 ,0.20 
Chelan,2018-P,35-44,4300.90 ,4240.98 ,8541.87 ,3143.00 ,2878.00 ,2.00 ,6023.00 ,985.00 ,824.00 ,,1809.00 ,0.73 ,0.68 ,0.71 ,0.23 ,0.19 ,0.21 ,0.31 ,0.29 ,0.30 
Chelan,2018-P,45-54,4863.93 ,4770.71 ,9634.63 ,3109.00 ,3070.00 ,3.00 ,6182.00 ,1211.00 ,1129.00 ,1.00 ,2341.00 ,0.64 ,0.64 ,0.64 ,0.25 ,0.24 ,0.24 ,0.39 ,0.37 ,0.38 
Chelan,2018-P,55-64,5760.82 ,5516.35 ,11277.17 ,4754.00 ,4310.00 ,5.00 ,9069.00 ,2641.00 ,2287.00 ,2.00 ,4930.00 ,0.83 ,0.78 ,0.80 ,0.46 ,0.41 ,0.44 ,0.56 ,0.53 ,0.54 
Chelan,2018-P,65-,8018.99 ,7320.20 ,15339.20 ,6866.00 ,6223.00 ,9.00 ,13098.00 ,4763.00 ,4360.00 ,7.00 ,9130.00 ,0.86 ,0.85 ,0.85 ,0.59 ,0.60 ,0.60 ,0.69 ,0.70 ,0.70 
Clallam,2018-P,0TOTAL,31082.70 ,30295.95 ,61378.67 ,27796.00 ,24658.00 ,,52454.00 ,13679.00 ,11701.00 ,,25380.00 ,0.89 ,0.81 ,0.85 ,0.44 ,0.39 ,0.41 ,0.49 ,0.47 ,0.48 
Clallam,2018-P,18-24,2280.37 ,2875.06 ,5155.43 ,1448.00 ,1524.00 ,,2972.00 ,196.00 ,218.00 ,,414.00 ,0.63 ,0.53 ,0.58 ,0.09 ,0.08 ,0.08 ,0.14 ,0.14 ,0.14 
Clallam,2018-P,25-34,3280.59 ,3933.25 ,7213.85 ,2935.00 ,2797.00 ,,5732.00 ,501.00 ,427.00 ,,928.00 ,0.89 ,0.71 ,0.79 ,0.15 ,0.11 ,0.13 ,0.17 ,0.15 ,0.16 
Clallam,2018-P,35-44,3451.59 ,3677.75 ,7129.35 ,3002.00 ,2790.00 ,,5792.00 ,734.00 ,644.00 ,,1378.00 ,0.87 ,0.76 ,0.81 ,0.21 ,0.18 ,0.19 ,0.24 ,0.23 ,0.24 
Clallam,2018-P,45-54,4233.67 ,4146.53 ,8380.19 ,3238.00 ,2826.00 ,,6064.00 ,1193.00 ,938.00 ,,2131.00 ,0.76 ,0.68 ,0.72 ,0.28 ,0.23 ,0.25 ,0.37 ,0.33 ,0.35 
Clallam,2018-P,55-64,6467.39 ,5577.65 ,12045.05 ,5941.00 ,4834.00 ,,10775.00 ,3166.00 ,2461.00 ,,5627.00 ,0.92 ,0.87 ,0.89 ,0.49 ,0.44 ,0.47 ,0.53 ,0.51 ,0.52 
Clallam,2018-P,65-,11369.09 ,10085.71 ,21454.80 ,11232.00 ,9887.00 ,,21119.00 ,7889.00 ,7013.00 ,,14902.00 ,0.99 ,0.98 ,0.98 ,0.69 ,0.70 ,0.69 ,0.70 ,0.71 ,0.71 
Clark,2018-P,0TOTAL,183547.82 ,174774.28 ,358322.08 ,146313.00 ,132766.00 ,4.00 ,279083.00 ,53250.00 ,47581.00 ,,100831.00 ,0.80 ,0.76 ,0.78 ,0.29 ,0.27 ,0.28 ,0.36 ,0.36 ,0.36 
Clark,2018-P,18-24,19674.72 ,19988.25 ,39662.95 ,12333.00 ,12120.00 ,2.00 ,24455.00 ,1959.00 ,1854.00 ,,3813.00 ,0.63 ,0.61 ,0.62 ,0.10 ,0.09 ,0.10 ,0.16 ,0.15 ,0.16 
Clark,2018-P,25-34,28441.86 ,27711.19 ,56153.06 ,22485.00 ,20786.00 ,,43271.00 ,3736.00 ,3458.00 ,,7194.00 ,0.79 ,0.75 ,0.77 ,0.13 ,0.12 ,0.13 ,0.17 ,0.17 ,0.17 
Clark,2018-P,35-44,30990.96 ,30695.51 ,61686.48 ,24661.00 ,22149.00 ,1.00 ,46811.00 ,5898.00 ,5148.00 ,,11046.00 ,0.80 ,0.72 ,0.76 ,0.19 ,0.17 ,0.18 ,0.24 ,0.23 ,0.24 
Clark,2018-P,45-54,32033.54 ,31969.22 ,64002.76 ,25071.00 ,23537.00 ,,48608.00 ,7707.00 ,6946.00 ,,14653.00 ,0.78 ,0.74 ,0.76 ,0.24 ,0.22 ,0.23 ,0.31 ,0.30 ,0.30 
Clark,2018-P,55-64,32704.68 ,30597.10 ,63301.77 ,26371.00 ,24060.00 ,,50431.00 ,11956.00 ,10668.00 ,,22624.00 ,0.81 ,0.79 ,0.80 ,0.37 ,0.35 ,0.36 ,0.45 ,0.44 ,0.45 
Clark,2018-P,65-,39702.06 ,33813.01 ,73515.06 ,35392.00 ,30114.00 ,1.00 ,65507.00 ,21994.00 ,19507.00 ,,41501.00 ,0.89 ,0.89 ,0.89 ,0.55 ,0.58 ,0.56 ,0.62 ,0.65 ,0.63 
Columbia,2018-P,0TOTAL,1662.73 ,1676.05 ,3338.78 ,1410.00 ,1260.00 ,,2670.00 ,945.00 ,836.00 ,,1781.00 ,0.85 ,0.75 ,0.80 ,0.57 ,0.50 ,0.53 ,0.67 ,0.66 ,0.67 
Columbia,2018-P,18-24,112.14 ,116.99 ,229.13 ,92.00 ,73.00 ,,165.00 ,32.00 ,23.00 ,,55.00 ,0.82 ,0.62 ,0.72 ,0.29 ,0.20 ,0.24 ,0.35 ,0.32 ,0.33 
Columbia,2018-P,25-34,134.31 ,140.11 ,274.43 ,130.00 ,112.00 ,,242.00 ,53.00 ,36.00 ,,89.00 ,0.97 ,0.80 ,0.88 ,0.39 ,0.26 ,0.32 ,0.41 ,0.32 ,0.37 
Columbia,2018-P,35-44,181.20 ,194.62 ,375.81 ,166.00 ,147.00 ,,313.00 ,90.00 ,68.00 ,,158.00 ,0.92 ,0.76 ,0.83 ,0.50 ,0.35 ,0.42 ,0.54 ,0.46 ,0.50 
Columbia,2018-P,45-54,270.60 ,283.64 ,554.23 ,188.00 ,172.00 ,,360.00 ,116.00 ,112.00 ,,228.00 ,0.69 ,0.61 ,0.65 ,0.43 ,0.39 ,0.41 ,0.62 ,0.65 ,0.63 
Columbia,2018-P,55-64,357.41 ,359.68 ,717.09 ,294.00 ,280.00 ,,574.00 ,222.00 ,202.00 ,,424.00 ,0.82 ,0.78 ,0.80 ,0.62 ,0.56 ,0.59 ,0.76 ,0.72 ,0.74 
Columbia,2018-P,65-,607.07 ,581.01 ,1188.09 ,540.00 ,476.00 ,,1016.00 ,432.00 ,395.00 ,,827.00 ,0.89 ,0.82 ,0.86 ,0.71 ,0.68 ,0.70 ,0.80 ,0.83 ,0.81 
Cowlitz,2018-P,0TOTAL,41686.88 ,40276.33 ,81963.17 ,32774.00 ,30125.00 ,53.00 ,62952.00 ,13511.00 ,12225.00 ,12.00 ,25748.00 ,0.79 ,0.75 ,0.77 ,0.32 ,0.30 ,0.31 ,0.41 ,0.41 ,0.41 
Cowlitz,2018-P,18-24,4289.62 ,4299.31 ,8588.93 ,2450.00 ,2396.00 ,14.00 ,4860.00 ,429.00 ,370.00 ,2.00 ,801.00 ,0.57 ,0.56 ,0.57 ,0.10 ,0.09 ,0.09 ,0.18 ,0.15 ,0.16 
Cowlitz,2018-P,25-34,5958.74 ,5788.29 ,11747.02 ,4617.00 ,4247.00 ,7.00 ,8871.00 ,815.00 ,719.00 ,1.00 ,1535.00 ,0.77 ,0.73 ,0.76 ,0.14 ,0.12 ,0.13 ,0.18 ,0.17 ,0.17 
Cowlitz,2018-P,35-44,5979.37 ,5975.55 ,11954.92 ,4712.00 ,4262.00 ,10.00 ,8984.00 ,1188.00 ,1050.00 ,1.00 ,2239.00 ,0.79 ,0.71 ,0.75 ,0.20 ,0.18 ,0.19 ,0.25 ,0.25 ,0.25 
Cowlitz,2018-P,45-54,6854.52 ,6962.81 ,13817.32 ,5166.00 ,4682.00 ,6.00 ,9854.00 ,1806.00 ,1600.00 ,2.00 ,3408.00 ,0.75 ,0.67 ,0.71 ,0.26 ,0.23 ,0.25 ,0.35 ,0.34 ,0.35 
Cowlitz,2018-P,55-64,7804.36 ,7651.33 ,15455.69 ,6424.00 ,6036.00 ,4.00 ,12464.00 ,3130.00 ,2782.00 ,2.00 ,5914.00 ,0.82 ,0.79 ,0.81 ,0.40 ,0.36 ,0.38 ,0.49 ,0.46 ,0.47 
Cowlitz,2018-P,65-,10800.27 ,9599.04 ,20399.29 ,9405.00 ,8502.00 ,12.00 ,17919.00 ,6143.00 ,5704.00 ,4.00 ,11851.00 ,0.87 ,0.89 ,0.88 ,0.57 ,0.59 ,0.58 ,0.65 ,0.67 ,0.66 
Douglas,2018-P,0TOTAL,15516.67 ,15402.16 ,30918.83 ,10989.00 ,10027.00 ,325.00 ,21341.00 ,4369.00 ,3948.00 ,131.00 ,8448.00 ,0.71 ,0.65 ,0.69 ,0.28 ,0.26 ,0.27 ,0.40 ,0.39 ,0.40 
Douglas,2018-P,18-24,1724.02 ,1821.56 ,3545.59 ,913.00 ,857.00 ,21.00 ,1791.00 ,103.00 ,106.00 ,4.00 ,213.00 ,0.53 ,0.47 ,0.51 ,0.06 ,0.06 ,0.06 ,0.11 ,0.12 ,0.12 
Douglas,2018-P,25-34,2360.28 ,2490.21 ,4850.47 ,1568.00 ,1355.00 ,32.00 ,2955.00 ,257.00 ,186.00 ,6.00 ,449.00 ,0.66 ,0.54 ,0.61 ,0.11 ,0.07 ,0.09 ,0.16 ,0.14 ,0.15 
Douglas,2018-P,35-44,2462.45 ,2488.14 ,4950.61 ,1536.00 ,1447.00 ,41.00 ,3024.00 ,325.00 ,337.00 ,12.00 ,674.00 ,0.62 ,0.58 ,0.61 ,0.13 ,0.14 ,0.14 ,0.21 ,0.23 ,0.22 
Douglas,2018-P,45-54,2478.37 ,2562.96 ,5041.34 ,1610.00 ,1409.00 ,71.00 ,3090.00 ,537.00 ,404.00 ,16.00 ,957.00 ,0.65 ,0.55 ,0.61 ,0.22 ,0.16 ,0.19 ,0.33 ,0.29 ,0.31 
Douglas,2018-P,55-64,2750.99 ,2679.46 ,5430.45 ,2133.00 ,1971.00 ,57.00 ,4161.00 ,1023.00 ,894.00 ,28.00 ,1945.00 ,0.78 ,0.74 ,0.77 ,0.37 ,0.33 ,0.36 ,0.48 ,0.45 ,0.47 
Douglas,2018-P,65-,3740.56 ,3359.83 ,7100.37 ,3229.00 ,2988.00 ,103.00 ,6320.00 ,2124.00 ,2021.00 ,65.00 ,4210.00 ,0.86 ,0.89 ,0.89 ,0.57 ,0.60 ,0.59 ,0.66 ,0.68 ,0.67 
Ferry,2018-P,0TOTAL,3045.35 ,3276.72 ,6322.10 ,2271.00 ,2272.00 ,,4543.00 ,1351.00 ,1282.00 ,,2633.00 ,0.75 ,0.69 ,0.72 ,0.44 ,0.39 ,0.42 ,0.59 ,0.56 ,0.58 
Ferry,2018-P,18-24,284.53 ,398.62 ,683.16 ,113.00 ,119.00 ,,232.00 ,34.00 ,26.00 ,,60.00 ,0.40 ,0.30 ,0.34 ,0.12 ,0.07 ,0.09 ,0.30 ,0.22 ,0.26 
Ferry,2018-P,25-34,294.50 ,318.44 ,612.94 ,210.00 ,220.00 ,,430.00 ,59.00 ,55.00 ,,114.00 ,0.71 ,0.69 ,0.70 ,0.20 ,0.17 ,0.19 ,0.28 ,0.25 ,0.27 
Ferry,2018-P,35-44,313.65 ,349.59 ,663.24 ,269.00 ,269.00 ,,538.00 ,117.00 ,85.00 ,,202.00 ,0.86 ,0.77 ,0.81 ,0.37 ,0.24 ,0.30 ,0.43 ,0.32 ,0.38 
Ferry,2018-P,45-54,478.32 ,459.03 ,937.36 ,329.00 ,278.00 ,,607.00 ,160.00 ,137.00 ,,297.00 ,0.69 ,0.61 ,0.65 ,0.33 ,0.30 ,0.32 ,0.49 ,0.49 ,0.49 
Ferry,2018-P,55-64,690.58 ,684.94 ,1375.53 ,512.00 ,484.00 ,,996.00 ,332.00 ,295.00 ,,627.00 ,0.74 ,0.71 ,0.72 ,0.48 ,0.43 ,0.46 ,0.65 ,0.61 ,0.63 
Ferry,2018-P,65-,983.77 ,1066.10 ,2049.87 ,838.00 ,902.00 ,,1740.00 ,649.00 ,684.00 ,,1333.00 ,0.85 ,0.85 ,0.85 ,0.66 ,0.64 ,0.65 ,0.77 ,0.76 ,0.77 
Franklin,2018-P,0TOTAL,29148.02 ,31307.36 ,60455.35 ,17363.00 ,15825.00 ,536.00 ,33724.00 ,5885.00 ,5488.00 ,148.00 ,11521.00 ,0.60 ,0.51 ,0.56 ,0.20 ,0.18 ,0.19 ,0.34 ,0.35 ,0.34 
Franklin,2018-P,18-24,4277.38 ,4642.58 ,8919.95 ,1918.00 ,1748.00 ,45.00 ,3711.00 ,276.00 ,231.00 ,6.00 ,513.00 ,0.45 ,0.38 ,0.42 ,0.06 ,0.05 ,0.06 ,0.14 ,0.13 ,0.14 
Franklin,2018-P,25-34,5998.29 ,6701.47 ,12699.76 ,3618.00 ,3111.00 ,68.00 ,6797.00 ,568.00 ,480.00 ,8.00 ,1056.00 ,0.60 ,0.46 ,0.54 ,0.09 ,0.07 ,0.08 ,0.16 ,0.15 ,0.16 
Franklin,2018-P,35-44,5820.02 ,6350.82 ,12170.84 ,3287.00 ,2891.00 ,100.00 ,6278.00 ,743.00 ,677.00 ,22.00 ,1442.00 ,0.56 ,0.46 ,0.52 ,0.13 ,0.11 ,0.12 ,0.23 ,0.23 ,0.23 
Franklin,2018-P,45-54,4746.83 ,5251.89 ,9998.72 ,2467.00 ,2310.00 ,107.00 ,4884.00 ,805.00 ,716.00 ,20.00 ,1541.00 ,0.52 ,0.44 ,0.49 ,0.17 ,0.14 ,0.15 ,0.33 ,0.31 ,0.32 
Franklin,2018-P,55-64,4041.02 ,4244.51 ,8285.53 ,2736.00 ,2583.00 ,102.00 ,5421.00 ,1271.00 ,1245.00 ,33.00 ,2549.00 ,0.68 ,0.61 ,0.65 ,0.31 ,0.29 ,0.31 ,0.46 ,0.48 ,0.47 
Franklin,2018-P,65-,4264.48 ,4116.09 ,8380.55 ,3337.00 ,3182.00 ,114.00 ,6633.00 ,2222.00 ,2139.00 ,59.00 ,4420.00 ,0.78 ,0.77 ,0.79 ,0.52 ,0.52 ,0.53 ,0.67 ,0.67 ,0.67 
Garfield,2018-P,0TOTAL,891.51 ,876.33 ,1767.80 ,815.00 ,794.00 ,,1609.00 ,569.00 ,527.00 ,,1096.00 ,0.91 ,0.91 ,0.91 ,0.64 ,0.60 ,0.62 ,0.70 ,0.66 ,0.68 
Garfield,2018-P,18-24,64.65 ,80.15 ,144.80 ,47.00 ,59.00 ,,106.00 ,19.00 ,30.00 ,,49.00 ,0.73 ,0.74 ,0.73 ,0.29 ,0.37 ,0.34 ,0.40 ,0.51 ,0.46 
Garfield,2018-P,25-34,67.72 ,76.77 ,144.48 ,106.00 ,97.00 ,,203.00 ,51.00 ,38.00 ,,89.00 ,1.57 ,1.26 ,1.41 ,0.75 ,0.49 ,0.62 ,0.48 ,0.39 ,0.44 
Garfield,2018-P,35-44,107.23 ,106.56 ,213.78 ,103.00 ,102.00 ,,205.00 ,64.00 ,58.00 ,,122.00 ,0.96 ,0.96 ,0.96 ,0.60 ,0.54 ,0.57 ,0.62 ,0.57 ,0.60 
Garfield,2018-P,45-54,137.45 ,128.76 ,266.19 ,99.00 ,99.00 ,,198.00 ,69.00 ,66.00 ,,135.00 ,0.72 ,0.77 ,0.74 ,0.50 ,0.51 ,0.51 ,0.70 ,0.67 ,0.68 
Garfield,2018-P,55-64,193.95 ,192.03 ,385.98 ,175.00 ,180.00 ,,355.00 ,125.00 ,129.00 ,,254.00 ,0.90 ,0.94 ,0.92 ,0.64 ,0.67 ,0.66 ,0.71 ,0.72 ,0.72 
Garfield,2018-P,65-,320.51 ,292.06 ,612.57 ,285.00 ,257.00 ,,542.00 ,241.00 ,206.00 ,,447.00 ,0.89 ,0.88 ,0.88 ,0.75 ,0.71 ,0.73 ,0.85 ,0.80 ,0.82 
Grant,2018-P,0TOTAL,32818.75 ,34548.77 ,67367.53 ,21019.00 ,19288.00 ,68.00 ,40375.00 ,7887.00 ,7287.00 ,11.00 ,15185.00 ,0.64 ,0.56 ,0.60 ,0.24 ,0.21 ,0.23 ,0.38 ,0.38 ,0.38 
Grant,2018-P,18-24,4237.70 ,4793.22 ,9030.92 ,1984.00 ,1771.00 ,12.00 ,3767.00 ,257.00 ,188.00 ,,445.00 ,0.47 ,0.37 ,0.42 ,0.06 ,0.04 ,0.05 ,0.13 ,0.11 ,0.12 
Grant,2018-P,25-34,5675.37 ,6431.03 ,12106.40 ,3539.00 ,3133.00 ,17.00 ,6689.00 ,477.00 ,404.00 ,1.00 ,882.00 ,0.62 ,0.49 ,0.55 ,0.08 ,0.06 ,0.07 ,0.13 ,0.13 ,0.13 
Grant,2018-P,35-44,5480.46 ,5843.78 ,11324.24 ,3041.00 ,2692.00 ,6.00 ,5739.00 ,670.00 ,617.00 ,1.00 ,1288.00 ,0.55 ,0.46 ,0.51 ,0.12 ,0.11 ,0.11 ,0.22 ,0.23 ,0.22 
Grant,2018-P,45-54,5300.13 ,5672.00 ,10972.13 ,3102.00 ,2895.00 ,12.00 ,6009.00 ,989.00 ,922.00 ,1.00 ,1912.00 ,0.59 ,0.51 ,0.55 ,0.19 ,0.16 ,0.17 ,0.32 ,0.32 ,0.32 
Grant,2018-P,55-64,5309.55 ,5373.95 ,10683.50 ,3775.00 ,3635.00 ,12.00 ,7422.00 ,1879.00 ,1744.00 ,3.00 ,3626.00 ,0.71 ,0.68 ,0.69 ,0.35 ,0.32 ,0.34 ,0.50 ,0.48 ,0.49 
Grant,2018-P,65-,6815.54 ,6434.79 ,13250.34 ,5578.00 ,5162.00 ,9.00 ,10749.00 ,3615.00 ,3412.00 ,5.00 ,7032.00 ,0.82 ,0.80 ,0.81 ,0.53 ,0.53 ,0.53 ,0.65 ,0.66 ,0.65 
Grays Harbor,2018-P,0TOTAL,27703.77 ,30214.93 ,57918.67 ,21784.00 ,19763.00 ,324.00 ,41871.00 ,8971.00 ,7941.00 ,100.00 ,17012.00 ,0.79 ,0.65 ,0.72 ,0.32 ,0.26 ,0.29 ,0.41 ,0.40 ,0.41 
Grays Harbor,2018-P,18-24,2601.63 ,3071.94 ,5673.57 ,1421.00 ,1434.00 ,72.00 ,2927.00 ,194.00 ,157.00 ,10.00 ,361.00 ,0.55 ,0.47 ,0.52 ,0.07 ,0.05 ,0.06 ,0.14 ,0.11 ,0.12 
Grays Harbor,2018-P,25-34,3637.28 ,4788.48 ,8425.76 ,2688.00 ,2522.00 ,38.00 ,5248.00 ,390.00 ,364.00 ,6.00 ,760.00 ,0.74 ,0.53 ,0.62 ,0.11 ,0.08 ,0.09 ,0.15 ,0.14 ,0.14 
Grays Harbor,2018-P,35-44,3748.09 ,4616.65 ,8364.74 ,2770.00 ,2482.00 ,44.00 ,5296.00 ,621.00 ,510.00 ,13.00 ,1144.00 ,0.74 ,0.54 ,0.63 ,0.17 ,0.11 ,0.14 ,0.22 ,0.21 ,0.22 
Grays Harbor,2018-P,45-54,4428.97 ,5019.17 ,9448.14 ,3185.00 ,2835.00 ,48.00 ,6068.00 ,978.00 ,875.00 ,12.00 ,1865.00 ,0.72 ,0.56 ,0.64 ,0.22 ,0.17 ,0.20 ,0.31 ,0.31 ,0.31 
Grays Harbor,2018-P,55-64,5588.19 ,5520.64 ,11108.82 ,4763.00 ,4107.00 ,49.00 ,8919.00 ,2332.00 ,1888.00 ,19.00 ,4239.00 ,0.85 ,0.74 ,0.80 ,0.42 ,0.34 ,0.38 ,0.49 ,0.46 ,0.48 
Grays Harbor,2018-P,65-,7699.61 ,7198.05 ,14897.64 ,6957.00 ,6383.00 ,73.00 ,13413.00 ,4456.00 ,4147.00 ,40.00 ,8643.00 ,0.90 ,0.89 ,0.90 ,0.58 ,0.58 ,0.58 ,0.64 ,0.65 ,0.64 
Island,2018-P,0TOTAL,34115.46 ,32570.30 ,66685.75 ,28904.00 ,26174.00 ,1.00 ,55079.00 ,14346.00 ,12421.00 ,,26767.00 ,0.85 ,0.80 ,0.83 ,0.42 ,0.38 ,0.40 ,0.50 ,0.47 ,0.49 
Island,2018-P,18-24,3044.99 ,3808.33 ,6853.32 ,1738.00 ,1628.00 ,,3366.00 ,338.00 ,249.00 ,,587.00 ,0.57 ,0.43 ,0.49 ,0.11 ,0.07 ,0.09 ,0.19 ,0.15 ,0.17 
Island,2018-P,25-34,4379.27 ,4770.99 ,9150.26 ,3562.00 ,3306.00 ,,6868.00 ,589.00 ,481.00 ,,1070.00 ,0.81 ,0.69 ,0.75 ,0.13 ,0.10 ,0.12 ,0.17 ,0.15 ,0.16 
